"Fruit","Berries","Raspberry"
"Fruit","Berries","Strawberry"
"Fruit","Berries","Youngberry"
"Fruit","Feijoa","Pineapple Guava"
"Fruit","Figs","Brown Turkey"
"Fruit","Figs","Kadota"
"Fruit","Figs","Mission"
"Fruit","Guava",
"Fruit","Jams",
"Fruit","Jellies",
"Fruit","Juice","Apple"
"Fruit","Juice","Pomegranate"
"Fruit","Kiwi",
"Fruit","Melons","Cantelope"
"Fruit","Melons","Casaba"
"Fruit","Melons","Crenshaw"
"Fruit","Melons","Watermelon"
"Fruit","Persimmon","Chocolate"
"Fruit","Persimmon","Fuyu"
"Fruit","Persimmon","Hachiya"
"Fruit","Persimmon","Hoshigaki"
"Fruit","Persimmon","Maru"
"Fruit","Persimmon","Vodka"
"Fruit","Pies",
"Fruit","Pies, sugarfree",
"Fruit","Pomegranate","Wonderful"
"Fruit","Quince",
"Fruit","Sauces",
"Grapes","Table","Concord"
"Grapes","Table","Flame"
"Grapes","Table","Thomson seedless"
"Grapes","Wine","Barbera"
"Grapes","Wine","Cabernet Franc"
"Grapes","Wine","Cabernet Sauvignon"
"Grapes","Wine","Chardonnay"
"Grapes","Wine","Petite Sirah"
"Grapes","Wine","Pinot Noir"
"Grapes","Wine","Ruby Dessert"
"Grapes","Wine","Sangiovese"
"Grapes","Wine","Sauvignon Blanc"
"Grapes","Wine","Syrah"
"Grapes","Wine","Zinfandel"
"Grapes","Wine","Zinfandel Rosato"
"Meat","Beef","Grass-fed"
"Meat","Beef","Veal"
"Meat","Goat","Grass-fed"
"Meat","Pork","Selection of frozen cuts"
"Meat","Poultry","Fryer"
"Meat","Sheep","lamb"
"Meat","Sheep","mutton"
"Meat","Sheep","petfood"
"Meat","Sheep","sausage"
"Nursery Stock","Aquatic plants",
"Nursery Stock","Bog plants",
"Nursery Stock","Bonsai",
"Nursery Stock","Calif. Native",
"Nursery Stock","Daylilies",
"Nursery Stock","Drought tolerant",
"Nursery Stock","Fruit Trees",
"Nursery Stock","Iris",
"Nursery Stock","Lavender",
"Nursery Stock","Lawn substitutes",
"Nursery Stock","Orchids",
"Nursery Stock","Ornamental grasses",
"Nursery Stock","Ornamentals",
"Nursery Stock","Perennials",
"Nursery Stock","Perennials, deer resistant",
"Nursery Stock","Seeds",
"Nursery Stock","Shrubs",
"Nursery Stock","Shrubs, deer resistant",
"Nursery Stock","Sustainable landscape plants",
"Nursery Stock","Trees","Bare Root fruit"
"Nursery Stock","Trees","Bare Root Nut"
"Nursery Stock","Trees","Christmas"
"Nursery Stock","Trees","Deciduous"
"Nursery Stock","Trees","Japanese Maples"
"Nuts","Almonds",
"Nuts","Chestnuts",
"Nuts","Pecans",
"Nuts","Walnuts",
"Olives","Oil",
"Olives","Table",
"Rice","brown",
"Rice","long grain",
"Rice","wild",
"Stone Fruit","Apricot",
"Stone Fruit","Cherries",
"Stone Fruit","Jujubes",
"Stone Fruit","Loquat",
"Stone Fruit","Peaches","Babcock"
"Stone Fruit","Peaches","Elberta"
"Stone Fruit","Peaches","O'Henry"
"Stone Fruit","Plums","Santa Rosa"
"Stone Fruit","Pluots",
"Timber","Firewood","Apple wood"
"Timber","Firewood","Doug Fir"
"Timber","Firewood","Oak"
"Timber","Greens",
"Timber","Lumber","Farmstead Lumber"
"Timber","Lumber","Peeled Poles"
"Timber","Pine cones",
"Timber","Wreaths",
"Tree Fruit","Apple",
"Tree Fruit","Apple",
"Tree Fruit","Pear","Asian "
"Tree Fruit","Pear","Bartlett"
"Tree Fruit","Pear","Yallie"
"Vegetables","Arugula",
"Vegetables","Asian vegetables",
"Vegetables","Beans","Fava"
"Vegetables","Beans","Green"
"Vegetables","Beans","Long"
"Vegetables","Beets",
"Vegetables","Broccoli",
"Vegetables","Cabbage",
"Vegetables","Carrots",
"Vegetables","Cauliflower",
"Vegetables","Chili Peppers, roasted",
"Vegetables","Corn",
"Vegetables","Cucumbers",
"Vegetables","Eggplant",
"Vegetables","Garlic",
"Vegetables","Herbs",
"Vegetables","Kale",
"Vegetables","Mustard Greens",
"Vegetables","Okra",
"Vegetables","Onions","Green"
"Vegetables","Onions","Red"
"Vegetables","Onions","Sweet"
"Vegetables","Peas",
"Vegetables","Peppers","Chili"
"Vegetables","Peppers","Green"
"Vegetables","Peppers","Red"
"Vegetables","Potatoes","Fingerling"
"Vegetables","Potatoes",
"Vegetables","Pumpkins",
"Vegetables","Radishes",
"Vegetables","Rhubarb",
"Vegetables","Salad Greens",
"Vegetables","Spinach",
"Vegetables","Sprouts",
"Vegetables","Squash","Summer"
"Vegetables","Squash","Winter"
"Vegetables","Swiss Chard",
"Vegetables","Tomatoes","Heirloom"
"Vegetables","Tomatoes",
"Vegetables","Turnips",
"Vegetables","Wheatgrass",
